Название,Тип,Родитель ID,Стеллаж,Полка,Номер документа,Дата подписания,Расположение,Категория
Коробка 1А1,Коробка,,А,1,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,
"ТО: Выполнение работ по инвестиционной программе конструкция трубопровода отопления и ГВС от ТК5 до ТК7 с переустройством ТК-5 по адресу: Московская обл. г.о. Котельники, мкр. Ковровый, около дома №17.",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ТС
"УУТЭ: Выполнение комплекса работ по устройству узла учета тепловой энергии на абонентском вводе 213-028, по адресу: московская область, г. котельники, ул. новая, стр. 16а",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,УУТЭ
"Выполнение работ по капитальному ремонту кровли взу ковровый. мо, г. котельники, мкр. ковровый, стр.37",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
ТО: Выполнение работ покапитальному ремонту трубопровода гвс и отопления от тк38 до ввода в ж.д. мкр белая дача 16,Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ТС
"Жилая застройка с комплексом социальных объектов, расположенная по адресу: Московская область, г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"Выполнение работ по аварийному ремонту участка канализационного коллектора Ду400мм, проходящего в городском округе Котельники Московской области под Дзержинским шоссе, в районе ул. Новая, дом 14",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"УУТЭ: Выполнение комплекса работ по устройству узла учета тепловой энергии на абонентском вводе 213-028 по адресу: московская область, г. котельники, ул. новая, стр. 16а",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,УУТЭ
"ВС: Выполнение работ по капитальному ремонту трубопровода хвс ду100 от цтп-1 до ж.д. №27, 26 по адресу: московская область, г. котельники, мкр. силикат",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ВС
"Объект: Корпус 1, входящий в состав имущественного комплекса: Жилая застройка с комплексом социальных объектов, расположенная по адресу: Московская обл., г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком. Жилой дом. Корпус 1 по адресу: Московская область, г. Котельники",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"Объект: Корпус 1, входящий в состав имущественного комплекса: Жилая застройка с комплексом социальных объектов, расположенная по адресу: Москвская обл., г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком. Жилой дом. Корпус 1 по адресу: Московская область, г. Котельники",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"ТО/ВО/ВС: Наружные инженерные сети теплоснабжения, хозяйственно-бытовой канализации и водоснабжения к жилому дому корпус 1, расположенного по адресу: г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком.",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,"ТС,ВО,ВС"
"ВС: Выполнение работ по капитальному ремонту трубопровода хвс от вк-4 до вк-6, по адресу: Московская область, г. Котельники, мкр. Силикат, д.д. 20,21.",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ВС
"ВС: Выполнение работ по реконструкции водопроводных сетей с заменой стальных труб на ПЭ по ул. Новая (ВК-56-((ВК) ПГ-32 L=247м Д=150мм), по адресу: Московская область, г. Котельники, ул. Новая, вдоль д.11",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ВС
"ТО: Жилая застройка с комплексом социальных объектов, расположенная по адресу: Московская обл. г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком. Жилой дом Корпус 1 с наружными инженерными сетями жилой застройки. Вынос тепловых сетей из зоны строительства РТП-1 по постоянной схеме.",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ТС
"ТО: Капитальный ремонт трубопровода перегретой воды от тк 1 до здания цтп - опытное поле, по адресу: Московская область, г. Котельники, мкр. Опытное поле.",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ТС
"ТО: Жилая застройка с комплексом социальных объектов, расположенная по адресу: Московская область, г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком. Переподключение к тепловым сетям ЦТП-5",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ТС
"ТО: Устройство наружных внеплощадочных сетей теплоснабжения для объекта строительства Жилая застройка расположенного по адресу: Москвовская область, г. Котельники, мкр. Опытное поле, вл. 10/1, вл. 10/2. Наружные внеплощадочные сети теплоснабжения на интервале от камеры 1313/11 до камеры 1313/9",Документ,3ee65b77-2,,,,,Коробка 'Коробка 1А1' / Полка 1 / Стеллаж А,ТС
"Перекладка тепловой сети на участке от камеры №1308/11 до камеры №1313/9, расположенной по адресу: Московская область, г. Котельники, в районе пересечение ул. 3-й Покровский проезд и ул. Строителей. 1 этап строительства.",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
Пристройка к школе №2 (ул. Новая),Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"Строительство поликлиники на 400 посещений в смену по адресу: Московская область, г. Котельники, мкр. Ковровый, вблизи ул. Кузьминская, д. 7",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"Капитальный ремонт участка трубопровода перегретой воды с заменой ду250 в асбестоцементоной изоляции на ду300 в ппу-изоляции от тк2 до тк3, мкр. силикат по адресу: московская область, г. котельники, мкр. силикат",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"Выполнение комплекса работ по устройству узла учета тепловой энергии на абоненстком вводе 213-028, по адресу: Московская область, г. Котельники, ул. Новая, стр. 16А",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"Выполнение работ по капитальному ремонту стального трубопровода хвс ду150 мм от пг9 до пг10(вк16) с заменой на пэ мкр. Ковровый, вдоль д.д 23 и 24",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"Выполнение работ по капитальному ремонту трубопровода гвс и отопления от тк38 до ввода в ж.д. мкр. Белая дача д.15 по адресу: Московская область, г. Котельники, мкр. Белая дача д. 15",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
"Жилая застройка с комплексом социальных объектов, расположенная по адресу: Московская обл. г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком. Вынос тепловой сети из зоны строительства корпусов 9-12 по временной схеме.",Документ,3ee65b77-2,А,1,,,Коробка 'Коробка 1А1' / Стеллаж А / Полка 1,
Коробка 2А1,Коробка,,А,1,,,Коробка 'Коробка 2А1' / Полка 1 / Стеллаж А,
"Раздел 5. Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения, перечень инженерно-технических мероприятий, содержание технологических решений. Подраздел 4. Отопление, вентиляция и кондиционирование воздуха, тепловые сети. Книга 3. Узел чёта тепловой энергии.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Монтаж трубопровода тс 133ч4,5 в павильоне уутэ, расположенного вдоль дзержинского ш. вблизи камеры 1308/01 по адресу: Московская область, г. Котельники",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по капитальному ремонту трубопровода ГВС и отопления от ТК-35 до ж. дома 27,30 мкр. Силикат по адресу: Московская область, г. Котельники, мкр. Силикат",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Реконструкция участка трубопровода отопления и ГВС от камеры №34 до камеры №32 по адресу: мкр. Силикат, г.о. Котельники, Московскоя область.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Реконструкция участка трубопровода отопления и ГВС от камеры №34 до камеры №32 по адресу: мкр. Силикат, г.о. Котельники, Московская область.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Прокладка кабельных линий от РУ-0,4кВ ТП-1-3 до ВРУ КНС по адресу: Московская область, г. Котельники, 17А, зем. участок кад. №50:22:0050102:240.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Узел учета тепловой энергии на Белые Росы по адресу: МО, г. Котельники мкр. Белая Дача, ул. Сосновая.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Раздел 5. Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения, перечень инженерно-технических мероприятий, содержание технологических решений. Подраздел 4. Отопление, вентиляция и кондиционирование воздуха, тепловые сети. Книга 2. Наружные сети теплоснабжения.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Раздел 5. Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения, перечень инженерно-технических мероприятий, содержание технологических решений. Подраздел 4. Отопление, вентиляция и кондиционирование воздуха, тепловые сети. Книга 3. Узел учёта тепловой энергии.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Раздел 5. Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения, перечень инженерно-технических мероприятий, содержание технологических решений. Подраздел 4. Отопление, вентиляция и кондиционирование воздуха, тепловые сети. Книга 2. Наружные сети теплоснабжения.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Реконструкция участка трубопровода отопления и ГВС от камеры №34 до камеры №32: МО, г. Котельники, мкр. Силикат",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение комплекса работ по устройству узла учета тепловой энергии на абонентском вводе 213-028, по адресу: МО, г. Котельники, ул. Новая, стр. 16А",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Устройство наружных внеплощадочных сетей теплоснабжения для объекта строительства Жилая застройка расположенного по адресу: МО, г. Котельники, мкр. Опытное поле, вл. 10/1, вл. 10/2. Наружные внеплощадочные сети теплоснабжения (байпас) на интервале от камеры 1313/11 до камеры 1313/9",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Устройство наружных внеплощадочных сетей теплоснабжения для объекта строительства Жилая застройка расположенного по адресу: МО, г. Котельники, мкр. Опытное поле, вл. 10/1, вл. 10/2. Наружные внеплощадочные сети теплоснабжения (байпас) на интервале от камеры 1313/11 до камеры 1313/9",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по аварийному ремонту участка канализационного коллектора ду400 мм проходящего в городском округе котельники московской области под дзержинским шоссе, в районе ул. новая, дом 14, по адресу: МО, г.о. Котельники под Дзержинским шоссе, в районе ул. Новая, дм 14",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по капитальному ремонту трубопровода отопления и гвс от цтп-1 до ж.д. 26, мкр. силикат",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по капитальному ремонту трубопровода ГВС и отопления от цтп-5 до тк38 по адресу: МО, г. Котельники, мкр. Белая дача, стр. 15В",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по капитальному ремонту трубопровода ГВС и отопления от цтп-5 до тк38 по адресу: МО, г. Котельники, мкр. Белая дача, стр. 15В",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по прокладке трубопроводов теплоснабжения в непроходных каналах в изоляции из ппу от тк-6 до тк-7 по адресу: МО,г.о. Котельники, мкр. Силикат",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Наружные инженерные сети теплоснабжения, хозяйственно-бытовой канализации и водоснабжения к жилому дому корпус 1, расположенного по адресу: г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком.",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по аварийному ремонту участка канализационного коллектора ду400 мм проходящего в городском округе котельники московской области под дзержинским шоссе, в районе ул. новая, дом 14, по адресу: МО, г.о. Котельники под Дзержинским шоссе, в районе ул. Новая, дом 14(участок №2, 3)",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по аварийному ремонту участка канализационного коллектора ду400 мм проходящего в городском округе котельники московской области под дзержинским шоссе, в районе ул. новая, дом 14, по адресу: МО, г.о. Котельники под Дзержинским шоссе, в районе ул. Новая, дом 14(участок №2,3)",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
